time,seconds_elapsed,z,y,x
1738772973449721900,0.028721923828125,-0.09051613722741603,-0.0027446088332915676,-0.020879121899604797
1738772973459712800,0.038712646484375,-0.062383683198690414,0.008890742338914424,-0.030455928540229795
1738772973469705000,0.048705078125,-0.06251753871142864,-0.008918952369957696,-0.033173370805382726
1738772973479696000,0.05869580078125,-0.06835398977994918,-0.0003859830933040939,-0.03347264601290226
1738772973489687000,0.06868701171875,-0.07745207299292087,-0.006048762661928777,-0.017657237243652344
1738772973499678000,0.078677978515625,-0.06333119318187236,-0.00506568132515531,-0.019684943678975105
1738772973509668900,0.0886689453125,-0.07821136692762375,0.0006553358033066615,-0.018016133683919907
1738772973519659800,0.09865966796875,-0.07634966470897198,0.0016437189362826757,-0.023504209706187246
1738772973529652000,0.10865185546875,-0.0605628975123167,-0.002992747508618049,-0.030350130078196525
1738772973539643000,0.118642822265625,-0.06911328371465206,-0.009901207156246528,-0.018646248281002045
1738772973549634000,0.128634033203125,-0.0752373195528984,-0.002185091237409506,-0.04140811518728733
1738772973559625000,0.138625,-0.07758534398376941,-0.005156576762290205,-0.03654021688997745
1738772973569616000,0.148615966796875,-0.07035422368645668,0.0010579480877146124,-0.029732290440797803
1738772973579606800,0.158606689453125,-0.05792378118038177,-0.0043179659471032205,-0.04052256452441215
1738772973589598000,0.168597900390625,-0.060581017690896986,-0.005032251696300227,-0.016785715106129646
1738772973599590000,0.17858984375,-0.052312955561280246,-0.0007602803153917193,-0.018638649496436118
1738772973609580800,0.188580810546875,-0.0726145698338747,0.005597744658531155,-0.022005495581030845
1738772973619572000,0.198572021484375,-0.06450549765825271,0.003002355587179772,-0.03357143021225929
1738772973629563000,0.20856298828125,-0.07096621810495853,-0.008674793466716072,-0.02679799055457115
1738772973639553800,0.2185537109375,-0.0747317081183195,-0.009101364298735279,-0.021822540229558943
1738772973649545000,0.228544921875,-0.07519815658628941,0.00920349579922622,-0.029576807618141174
1738772973659537000,0.238536865234375,-0.08211071245372295,-0.003091734920663293,-0.023995792615413663
1738772973669527800,0.24852783203125,-0.07425356921255588,-0.004617448933888227,-0.018722820648550985
1738772973679519000,0.25851904296875,-0.06092763917148113,-0.0018461324734729714,-0.0265168355256319
1738772973689510000,0.268510009765625,-0.08093348536789417,0.0011403930736239999,-0.02598667417168617
1738772973699500800,0.278500732421875,-0.07223521512746811,-0.0040065208111773245,-0.024819383957982062
1738772973709492000,0.288491943359375,-0.08072948722839356,-0.0003786902694148011,-0.027864743003249166
1738772973719484000,0.29848388671875,-0.0795072519570589,0.001299088483385276,-0.0395750545412302
1738772973729474800,0.308474853515625,-0.0824918207257986,-0.0032251817247364667,-0.032704584249854084
1738772973739466000,0.318466064453125,-0.08067688025832176,-0.01135749549533939,-0.038569092369079586
1738772973749457000,0.328456787109375,-0.06733458360433578,-0.0050115034525049845,-0.03396832057535648
1738772973759447800,0.33844775390625,-0.08347381750047206,0.003233776023145765,-0.02262859591543674
1738772973769438700,0.348438720703125,-0.08555120829641819,-0.00504420242899796,-0.03537409572005272
1738772973779430000,0.358429931640625,-0.05948562366962432,-0.007842897803394588,-0.032574820390343665
1738772973789421800,0.368421875,-0.058092708006501195,-0.0023390762227238153,-0.020523148068785666
1738772973799413000,0.3784130859375,-0.06825929723381996,-0.0013354384384001603,-0.02218377475738525
1738772973809404000,0.38840380859375,-0.07317512632608414,-0.01898910233534407,-0.028501287341117856
1738772973819394800,0.398394775390625,-0.07778817307949065,-0.0038745992439100517,-0.016869301736354828
1738772973829385700,0.4083857421875,-0.069503159815073,-0.008339467414992396,-0.025780922466516493
1738772973839377000,0.418376953125,-0.0766185447782278,-0.02155747781889513,-0.02872515922486782
1738772973849368800,0.428368896484375,-0.07300327689051628,-0.014922809594369027,-0.015594459494948386
1738772973859360000,0.438360107421875,-0.06640402475595474,-0.0032227865549619306,-0.0180120420306921
1738772973869351000,0.448350830078125,-0.07757891424298285,-0.005330405809101648,-0.01913140144944191
1738772973879341800,0.458341796875,-0.0769499686896801,-0.008494918271608184,-0.027408231407403946
1738772973889332700,0.468332763671875,-0.047263855478167534,-0.014700720959040335,-0.022857143974304196
1738772973899324000,0.478323974609375,-0.07876900081038475,-0.0015953018008498473,-0.027151041775941846
1738772973909315800,0.48831591796875,-0.07202537176907062,-0.007246409197989851,-0.023126024043560026
1738772973919306800,0.498306640625,-0.07263269001245498,-0.014559832917316816,-0.022814473876357075
1738772973929298000,0.5082978515625,-0.06837620161175728,-0.0088161518658977,-0.022766543081402777
1738772973939288800,0.518288818359375,-0.07392799052000046,-0.0037841056655743156,-0.029026772519946096
1738772973949279700,0.52827978515625,-0.07855038962364197,-0.01048587060982827,-0.020823007798194883
1738772973959271000,0.53827099609375,-0.07794482494592667,-0.0061071395023725925,-0.021731354814767838
1738772973969261800,0.54826171875,-0.06941957318484783,0.0022920222106040454,-0.028459201765060425
1738772973979253800,0.558253662109375,-0.06474281354546546,-0.0014506508994614705,-0.013104396244883536
