time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1738772229100677600,17.949677734375,0.21195334488512882,0.3438455526031457,0.09888444341162067,-0.002170440109838071,0.9331281499208944,0.03555257524585464,0.7059211617802268
1738772229110668500,17.95966845703125,0.2119506270448273,0.3438474437805969,0.09888342769911326,-0.00216852151932016,0.9331275325887497,0.03555321038192738,0.7059253118701734
1738772229120660700,17.96966064453125,0.21195119583576755,0.3438485934964376,0.09888386413629552,-0.002167260908603161,0.9331270050346601,0.035554029158948654,0.7059279081892196
1738772229130651600,17.979651611328126,0.21194240785703347,0.34384500204054536,0.09888087105286966,-0.0021616384203178816,0.9331286120586818,0.035554771537717515,0.7059204661903544
1738772229140642600,17.989642578125,0.21194548111047457,0.34384491970206804,0.09888327103379561,-0.0021559766185179964,0.9331282447647862,0.03555797031477598,0.7059209878933334
1738772229150633700,17.9996337890625,0.21194857716183074,0.3438470590756413,0.09888473593207177,-0.002155287953860039,0.9331273214471381,0.035559056404918306,0.7059258191296075
1738772229160624600,18.009624755859374,0.2119448093175884,0.3438460990050003,0.09888267403256779,-0.0021573399284373204,0.9331279342031291,0.03555733297571429,0.7059233778781948
1738772229170615600,18.019615478515625,0.21194684162766536,0.3438478529999199,0.098884303170864,-0.0021529092285941954,0.9331270142576068,0.03555996417121508,0.705927683968751
1738772229180607700,18.029607666015625,0.211960526394114,0.3438538693201854,0.0988897714430834,-0.002156792113828842,0.9331242071271312,0.03556115015738011,0.70594072061471
1738772229190598700,18.0395986328125,0.211959510341115,0.3438552229407036,0.0988884442889195,-0.0021615384054016313,0.9331238813600345,0.03555888334871033,0.7059430326306515
1738772229200589600,18.049589599609376,0.21194854283424397,0.3438527328918722,0.09888291009489966,-0.0021646050988226246,0.9331255544039521,0.03555526130627012,0.7059369795822148
1738772229210580700,18.059580810546876,0.21193573679490485,0.3438484899544942,0.09887945235171137,-0.0021508592589057694,0.9331273304567547,0.03555906892866798,0.7059288457623133
