time,seconds_elapsed,z,y,x
1738772337304144000,0.023143798828125,-5.083443082219362,-8.386227321270107,-0.013675214977847645
1738772337314134800,0.033134765625,-5.08353952833116,-8.38616886908114,-0.013600835709029343
1738772337324126000,0.0431259765625,-5.083549465203285,-8.386162439340353,-0.013622137650317745
1738772337334116900,0.053116943359375,-5.083493935623765,-8.386196341609955,-0.013646422708203317
1738772337344108800,0.06310888671875,-5.083479907098412,-8.386205109438299,-0.01367778938577976
1738772337354100000,0.073099853515625,-5.083559986597299,-8.386156594121456,-0.013516891744133317
1738772337364091000,0.0830908203125,-5.083543035462498,-8.38616711551547,-0.013398863988189258
1738772337374081800,0.093081787109375,-5.083549465203285,-8.386163608384132,-0.013353670856304234
1738772337384073000,0.103072998046875,-5.083554141378403,-8.386160101252793,-0.013390079035179223
1738772337394064000,0.11306396484375,-5.083583367472887,-8.386142565596103,-0.01354094048164552
1738772337404055800,0.123055908203125,-5.083631298267841,-8.38611333950162,-0.013602195407409453
1738772337414047000,0.133046875,-5.083631882789731,-8.38611275497973,-0.013597252087522065
1738772337424038000,0.143037841796875,-5.083671630278229,-8.386088789582251,-0.013634137473721056
1738772337434028800,0.15302880859375,-5.0836652005374425,-8.38609288123548,-0.013627907520689767
1738772337444020000,0.16302001953125,-5.083680982628464,-8.386082944363356,-0.013577280161861563
1738772337454012000,0.173011962890625,-5.083617269742488,-8.386121522808075,-0.013561136169591918
1738772337464002800,0.1830029296875,-5.083691504022479,-8.386077099144458,-0.013553133242938201
1738772337473994000,0.192993896484375,-5.083645911315084,-8.386105156195164,-0.013518019688717322
1738772337483985000,0.20298486328125,-5.083664616015553,-8.38609346575737,-0.0136230452575488
1738772337493975800,0.212975830078125,-5.0835769377321,-8.38614665724933,-0.013818231044575803
1738772337503968000,0.222968017578125,-5.083478738054633,-8.38620452491641,-0.014056222785223508
1738772337513959000,0.232958984375,-5.083491597536206,-8.386197510653734,-0.014191422013321424
1738772337523949800,0.24294970703125,-5.083506795105338,-8.38618698925972,-0.014332781554147368
1738772337533941000,0.25294091796875,-5.0834869213610885,-8.386199264219403,-0.014321338853170162
1738772337543932000,0.262931884765625,-5.083452434569597,-8.386219722485542,-0.01438428112923284
1738772337553922800,0.2729228515625,-5.083526084327698,-8.386175883343816,-0.014529223149921744
1738772337563915000,0.2829150390625,-5.083634805399179,-8.386109247848392,-0.014674741700990125
1738772337573906000,0.292906005859375,-5.083685074281692,-8.386078852710128,-0.01474554533981136
1738772337583896800,0.302896728515625,-5.083692088544368,-8.3860747610569,-0.014710910134558797
1738772337593888000,0.312887939453125,-5.083612009045481,-8.386122691851854,-0.014739871367561863
1738772337603879000,0.32287890625,-5.083544789028167,-8.386163023862242,-0.014860804608289617
1738772337613870800,0.332870849609375,-5.083498611798882,-8.386191665434836,-0.01490447592830169
1738772337623862000,0.342862060546875,-5.083459448832273,-8.386214461788535,-0.014973306805745231
