time,seconds_elapsed,z,y,x
1738772909643831300,0.035831298828125,-9.443843692812322,-0.04508046529078856,-2.642380009905994
1738772909653822200,0.045822265625,-9.443834340462088,-0.04502493114469107,-2.6424136199146506
1738772909663813400,0.0558134765625,-9.443881686735153,-0.044961565318587235,-2.6422461543932556
1738772909673804300,0.06580419921875,-9.44384778446555,-0.04496555650711525,-2.6423674426853654
1738772909683796200,0.075796142578125,-9.443817389327288,-0.044931649670936165,-2.6424764560177922
1738772909693787400,0.085787353515625,-9.443842523768543,-0.04499631697156001,-2.6423841015592218
1738772909703778300,0.0957783203125,-9.443836678549646,-0.04500829053714406,-2.642406021130085
1738772909713769200,0.105769287109375,-9.443840770202874,-0.04500486103761941,-2.642390823560953
1738772909723760000,0.115760009765625,-9.443833755940199,-0.04496038714165333,-2.6424177115678784
1738772909733751300,0.125751220703125,-9.443822065502404,-0.044922603281377815,-2.642459504882991
1738772909743743200,0.1357431640625,-9.443816220283507,-0.04489960143170319,-2.6424796708881853
1738772909753734400,0.145734375,-9.443803360801935,-0.044903647419158366,-2.6425267249003053
1738772909763725300,0.155725341796875,-9.443804529845714,-0.0449080085004447,-2.6425223409861323
1738772909773716200,0.16571630859375,-9.44377238114178,-0.044839888867409895,-2.642637491798401
1738772909783707100,0.17570703125,-9.443747246700525,-0.04475827499856241,-2.6427298462569713
1738772909793698300,0.1856982421875,-9.44373789435029,-0.044781733505963345,-2.642763164004683
1738772909803690200,0.195690185546875,-9.443749584788083,-0.04475273574034218,-2.6427210784286257
1738772909813681200,0.20568115234375,-9.44371860512793,-0.044676382568501864,-2.6428330143705008
1738772909823672300,0.21567236328125,-9.443674181464313,-0.044682538314652624,-2.6429908352807163
1738772909833663200,0.225663330078125,-9.44366015293896,-0.04469711026269942,-2.6430408119022846
1738772909843654100,0.235654052734375,-9.443677104073762,-0.04468538785886485,-2.642982067452371
1738772909853645300,0.245645263671875,-9.443670674332976,-0.044670619547995734,-2.6430042792841792
1738772909863637200,0.25563720703125,-9.443671843376755,-0.0446038059560582,-2.6430022334575654
1738772909873628200,0.265628173828125,-9.44368119572699,-0.04450804026427213,-2.642969207970798
1738772909883619300,0.275619384765625,-9.443670674332976,-0.04454384223001543,-2.643007786415517
1738772909893610200,0.2856103515625,-9.443668336245418,-0.04452615587627515,-2.6430148006781935
1738772909903601200,0.29560107421875,-9.443670674332976,-0.04448661845033057,-2.6430074941545723
1738772909913592300,0.30559228515625,-9.443694639730452,-0.044403474778099916,-2.6429221539586782
1738772909923584300,0.315584228515625,-9.44368294929266,-0.04445033699397463,-2.642963362751901
1738772909933575200,0.3255751953125,-9.44370223851502,-0.044371965394983996,-2.6428973117783663
1738772909943566300,0.33556640625,-9.443712175387143,-0.04433739640510175,-2.642860779160261
1738772909953557200,0.34555712890625,-9.443712175387143,-0.04445646534066181,-2.642859025594592
1738772909963548200,0.355548095703125,-9.443714513474703,-0.04446939788747113,-2.642852011331916
1738772909973539300,0.365539306640625,-9.443693470686673,-0.04448568230199162,-2.6429259533509613
1738772909983531300,0.37553125,-9.443674181464313,-0.044370659353886725,-2.6429966804996132
1738772909993522200,0.385522216796875,-9.44368119572699,-0.04433706304496154,-2.6429721305802465
1738772910003513300,0.395513427734375,-9.443691132599115,-0.04438811281218659,-2.64293735152781
1738772910013504300,0.405504150390625,-9.443687040945887,-0.0444590089241974,-2.642949626487493
1738772910023495200,0.4154951171875,-9.443672427898646,-0.04449580183720681,-2.6430013566747306
1738772910033486000,0.425486083984375,-9.443654892241954,-0.04453126130965538,-2.643063900516927
1738772910043478300,0.435478271484375,-9.443696393296122,-0.044460534161003304,-2.6429160164788366
1738772910053469200,0.44546923828125,-9.443696977818012,-0.04447992841464001,-2.6429139706522227
