time,seconds_elapsed,z,y,x
1738773095584795600,0.023795654296875,-0.205108642578125,-0.0114898681640625,-0.9850311279296875
1738773095594786600,0.03378662109375,-0.199859619140625,-0.0127716064453125,-0.9856109619140625
1738773095604777700,0.04377783203125,-0.22747802734375,-0.01275634765625,-0.9825897216796875
1738773095614768600,0.0537685546875,-0.2211761474609375,-0.011627197265625,-0.984710693359375
1738773095624760600,0.063760498046875,-0.201263427734375,-0.011474609375,-0.9859161376953125
1738773095634751700,0.073751708984375,-0.212677001953125,-0.011444091796875,-0.9846954345703125
1738773095644742700,0.08374267578125,-0.2248992919921875,-0.0107574462890625,-0.98358154296875
1738773095654733600,0.093733642578125,-0.2109375,-0.011566162109375,-0.9853515625
1738773095664724500,0.103724365234375,-0.207366943359375,-0.0117034912109375,-0.984710693359375
1738773095674715600,0.113715576171875,-0.2209625244140625,-0.011138916015625,-0.9841156005859375
1738773095684706600,0.12370654296875,-0.21722412109375,-0.011016845703125,-0.9827117919921875
1738773095694697700,0.13369775390625,-0.205413818359375,-0.0111541748046875,-0.9835052490234375
1738773095704689000,0.14368896484375,-0.2150726318359375,-0.0114898681640625,-0.984344482421875
1738773095714680600,0.1536806640625,-0.220703125,-0.011260986328125,-0.9847412109375
1738773095724671500,0.16367138671875,-0.2101593017578125,-0.0101776123046875,-0.9840850830078125
1738773095734662700,0.17366259765625,-0.2091217041015625,-0.011962890625,-0.9851837158203125
1738773095744653800,0.18365380859375,-0.21807861328125,-0.01092529296875,-0.98382568359375
1738773095754644700,0.193644775390625,-0.2177734375,-0.01214599609375,-0.983978271484375
1738773095764636000,0.203635986328125,-0.2104949951171875,-0.0116729736328125,-0.9850616455078125
1738773095774626800,0.213626708984375,-0.2154541015625,-0.0110015869140625,-0.984344482421875
1738773095784617700,0.22361767578125,-0.2166900634765625,-0.0113067626953125,-0.9839935302734375
1738773095794609700,0.233609619140625,-0.2118682861328125,-0.0103302001953125,-0.98406982421875
